Name,Price,Rating,Brand,Gender,ProductType,Fragrance_family,Character,Ingredients,Concentration,Top_note,Middle_note,Base_note,Size,Year
Jimmy Choo Illicit,220 SAR,none,Versace,Women,Perfume,Woody,Sophisticated,2014,"Sicilian lemon, Calabrian bergamot, pomegranate accords, lemon, sambac jasmine, peony, sandalwood, ambrox, musk, various woody notes.",Eau de Toilette,"Sicilian lemon, Calabrian bergamot, Pomegranate","lemon, sambac jasmine, peony",Gold,100 ml
Teatro Fragranze Uniche Oro Diffuser - 3000 ml,2428 SAR,none,Versace,Women,Perfume,Woody,Sophisticated,2014,"Sicilian lemon, Calabrian bergamot, pomegranate accords, lemon, sambac jasmine, peony, sandalwood, ambrox, musk, various woody notes.",Eau de Toilette,"Sicilian lemon, Calabrian bergamot, Pomegranate","lemon, sambac jasmine, peony",Gold,100 ml
Teatro Fragranze Uniche Rose Oud Diffuser - 250 ml,376 SAR,none,Versace,Women,Perfume,Woody,Sophisticated,2014,"Sicilian lemon, Calabrian bergamot, pomegranate accords, lemon, sambac jasmine, peony, sandalwood, ambrox, musk, various woody notes.",Eau de Toilette,"Sicilian lemon, Calabrian bergamot, Pomegranate","lemon, sambac jasmine, peony",Gold,100 ml
Hermes Twilly D'Hermes,679 SAR,5,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Teatro Fragranze Uniche Imperial Oud Diffuser - 3000 ml,2198 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Vanille Exquise EDT,701 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Tenue De Soiree EDP,839 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Temps Des Reves EDT,701 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Songes EDP,839 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Sables EDP,839 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Rose Splendide EDT,701 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Rose Pompon EDT,488 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Rose Pompon EDP,569 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
Goutal Paris Rose Oud Absolu Extrait de Parfum,1000 SAR,none,Hermes,Women,Perfume,Chypre,Feminine,2017,"Ginger, Tuberose, Sandalwood",Eau de Parfum,Ginger,Tuberose,Pink,85 ml
